age,income,credit_score,loan_amount,approved
21,99952,625,9292,1
53,73662,609,8447,1
60,87410,660,4075,0
30,72191,827,25491,0
63,95965,602,5246,1
64,32213,578,19473,0
49,68987,620,7162,1
33,79783,776,36731,0
32,81353,603,6531,0
51,35802,818,4607,1
66,80646,355,17346,0
22,63671,491,12499,1
55,86945,321,17129,1
43,63388,379,48608,1
37,54600,583,5219,0
46,80690,727,36328,0
28,25736,402,2418,1
49,90529,441,8858,0
46,63871,702,48803,1
30,67165,461,11910,0
46,76786,515,40965,1
54,51247,777,38783,1
61,48821,550,5625,1
27,23213,709,9377,1
24,49495,618,30174,0
65,91744,687,28408,1
31,29644,384,40213,1
49,26453,814,15354,1
56,96629,304,12275,0
45,31263,534,49345,1
41,76480,712,27603,1
56,85841,674,24529,1
30,52021,574,30633,0
57,37958,670,44411,0
29,86408,831,36333,0
44,61128,693,33729,0
55,62563,303,39278,1
69,37414,833,25927,1
55,95462,823,40222,0
68,75883,705,7624,0
56,57210,712,11185,0
38,35290,488,30548,0
69,23667,616,44534,1
59,37660,838,20294,1
52,92089,730,13572,1
44,77698,639,40110,1
43,24808,818,39689,1
52,60499,729,18875,0
57,48015,726,30220,1
32,53351,821,3142,0
69,69662,814,21882,0
33,94674,599,17278,0
43,56241,353,15406,0
45,21198,461,34526,1
55,32113,748,24516,0
61,58639,510,1566,0
50,84036,746,8116,0
37,87983,369,14094,0
69,94944,600,49408,0
40,37674,367,7403,1
68,32413,581,16575,0
45,74986,453,36713,1
42,67937,761,3445,1
33,93085,523,1689,0
39,43071,667,25330,1
69,94229,488,45965,1
56,63831,685,5315,1
32,61371,340,44669,1
61,87542,816,46865,0
39,25213,429,18888,1
32,83815,321,9933,1
29,71299,340,43227,1
27,56636,452,42400,1
48,83948,649,28341,1
34,95066,308,8845,0
51,67128,346,35056,1
39,92173,629,14143,0
67,69504,302,34732,0
36,90500,708,26001,0
25,72340,335,34595,1
55,54070,542,3470,0
32,93285,733,15170,1
45,86382,717,19887,1
41,98926,518,41924,1
56,99271,500,39203,0
43,34876,693,23452,1
36,99503,838,21093,0
59,71676,568,21585,0
65,38262,423,31312,1
62,44054,699,29820,0
59,43051,580,14999,1
34,48385,732,38640,1
51,55587,699,22376,1
25,75131,301,6967,0
55,47653,628,33858,1
43,64790,682,40233,1
49,62018,377,5539,1
63,80992,631,6297,0
31,74840,462,31011,1
38,64561,449,42943,1
67,30070,804,21285,0
32,59025,449,23182,0
29,53779,346,17239,0
30,36616,661,10145,1
64,20797,673,4139,1
37,59889,394,7685,1
58,84390,400,10282,0
27,33594,689,29227,1
66,67754,381,33953,0
33,73639,712,15412,1
60,93226,302,19957,1
62,32669,312,42097,0
29,41085,463,27061,1
47,48787,644,49917,1
22,44051,465,42662,1
25,75566,374,42133,1
49,70615,359,9484,1
57,97090,681,1788,1
58,72262,372,45418,0
39,57639,422,43386,0
28,98890,766,33974,0
68,25289,588,12031,0
65,44744,815,47024,0
21,37945,780,31025,0
42,76964,536,31639,1
37,44227,471,24903,1
27,29934,684,33569,1
45,65530,745,10350,0
65,73168,506,39874,0
24,96086,449,42085,1
56,85095,450,18806,0
26,89560,412,37331,0
51,51772,531,9916,0
39,28722,787,45105,1
64,70142,682,17470,1
59,87656,673,45548,1
47,25877,546,31960,0
30,38904,439,45730,0
46,49684,701,36525,0
39,86500,424,15357,1
59,54902,655,5123,0
23,73606,538,31133,1
65,55571,812,21498,1
33,89447,831,39000,1
48,96752,572,41461,1
40,86944,476,45207,1
48,98731,705,7022,1
28,63938,413,5302,1
61,77203,326,9853,1
59,77805,717,46357,0
21,92649,761,7996,1
23,60910,479,36538,0
33,42761,546,28134,0
48,44992,799,18036,0
69,99314,616,27901,1
45,75448,733,37845,1
53,89903,532,42325,1
58,65447,668,16403,0
26,30786,467,48383,1
64,62706,367,21925,1
65,96587,644,39908,0
52,35611,829,38094,0
65,24490,351,36377,1
67,70004,744,15289,0
41,80634,439,36385,1
36,26377,708,45719,0
41,29903,634,7884,1
31,34567,580,25412,1
57,68556,704,11079,0
56,46606,421,33839,1
55,22260,759,36679,0
39,50267,338,22589,1
40,78369,374,9083,0
38,70060,516,30868,1
67,36833,545,17409,0
61,23498,717,48696,0
69,85310,502,34641,0
34,66729,818,19401,1
35,30518,595,47494,1
51,98037,749,48185,0
21,42254,527,29218,1
23,45545,402,25194,0
36,23345,391,8953,0
43,76366,656,28475,0
31,66721,445,10108,0
32,79829,566,4512,0
30,29642,418,45514,0
52,84533,802,35345,1
36,92571,563,3365,1
28,73382,575,5125,1
58,53299,358,33828,0
32,55035,646,42526,0
44,43583,485,11499,0
48,42105,414,15959,1
28,33736,661,43182,1
48,62281,535,5191,0
56,99351,741,45640,1
46,44312,562,15654,1
28,97780,350,18228,1
48,62668,650,6439,0
48,75652,716,39032,0
57,31718,312,49631,1
61,63997,693,20173,0
56,51428,831,17453,0
47,78822,512,49254,0
37,46490,569,36322,0
29,70209,339,34841,0
53,67351,480,33014,1
40,61001,564,22575,1
33,65856,405,24969,1
48,36410,786,44765,0
68,72685,703,49370,0
49,55386,689,31621,0
33,94898,422,2494,0
66,92578,336,43391,0
55,45286,802,30191,0
26,31391,826,5536,0
38,46999,391,41305,1
25,22018,399,2953,1
67,32952,754,40192,1
45,39282,693,11208,0
22,74354,804,20981,0
30,37942,416,31085,1
50,80938,790,34894,1
65,21722,641,11019,1
25,56820,725,34827,1
53,87187,769,9184,1
21,54546,433,26233,1
38,85030,479,44997,1
52,86219,511,40912,1
67,38394,817,32064,1
69,78559,712,5367,1
31,66705,656,3123,1
41,46469,752,41494,1
46,94041,734,35485,0
45,81338,376,33825,0
42,25492,582,32436,1
47,36827,836,26597,1
69,47492,720,33413,1
33,88802,450,30155,0
53,91445,802,20983,0
54,32869,814,2756,0
61,59782,634,1794,0
55,41863,711,31924,0
21,81987,554,35877,0
41,64055,517,38840,1
68,93355,507,24451,1
26,49136,589,23931,1
48,34837,584,9246,1
37,95592,815,25882,0
25,20715,531,22572,0
51,37275,631,27455,1
25,40191,506,21680,0
58,80126,660,28041,1
23,71792,650,22229,1
43,28894,672,17794,1
57,43321,400,26188,0
57,44959,843,17992,1
30,30515,769,6487,1
30,94613,430,36109,1
39,85196,828,32004,1
37,41443,776,9165,0
41,73550,547,14090,0
34,95979,674,10491,1
29,57208,695,23162,1
66,21783,377,14593,0
21,98649,340,8021,1
65,90921,557,27546,1
33,26982,480,9385,0
24,98943,589,32420,0
21,35316,424,19988,1
69,87966,767,43757,1
60,22936,534,1697,1
52,97400,799,7016,1
54,94843,373,37906,0
48,26709,304,25589,1
51,40707,417,24625,1
28,59384,613,21498,1
59,55187,500,37914,0
46,86935,842,29039,1
54,62536,729,44311,1
23,44188,458,31347,0
32,34245,600,24237,0
21,52286,719,46346,1
64,54303,557,2221,1
25,61049,361,31213,0
50,76200,461,30026,1
50,98986,385,39123,0
37,89726,312,21746,1
68,62861,574,15245,0
67,63639,716,25410,0
43,43937,423,43567,0
35,79514,348,13376,0
57,92988,302,22586,1
41,23960,570,31513,1
34,59602,849,19361,0
22,30564,452,2561,1
31,85533,616,35574,0
59,67510,733,41422,1
58,25091,821,32179,1
54,82335,789,22783,1
58,50519,498,7988,1
54,23710,735,48290,0
38,83564,516,43808,1
50,79977,809,25144,0
35,84975,339,11730,1
47,77614,788,2664,1
54,27988,548,1138,1
58,55754,384,21755,0
53,43074,703,35334,1
44,41198,328,21203,1
35,96045,336,45198,0
50,45180,806,32749,0
62,68068,831,38218,1
37,36560,559,1946,0
25,62674,554,14364,1
49,85152,385,18523,0
24,58938,711,39187,1
30,55391,687,4136,0
37,48731,699,2231,1
30,45236,721,6872,1
37,57133,632,17492,0
40,96915,752,45799,0
44,24340,448,18396,1
25,90291,469,48054,1
54,68731,624,34351,0
26,77428,527,40875,0
22,72822,625,12000,1
33,61866,304,26709,1
63,61813,451,5125,1
63,86042,520,2442,1
68,94135,456,49517,1
31,28715,557,5453,0
67,75902,305,46652,0
43,34783,589,25093,1
36,87933,503,43364,1
51,60680,577,42735,0
31,79179,433,1730,1
36,59970,746,43059,1
28,93236,645,17682,1
24,24718,415,27156,1
60,47111,612,1745,1
24,58718,720,17115,0
45,95769,472,7614,1
23,99707,468,13213,0
52,30726,402,15829,1
23,37139,527,29786,0
47,85681,432,8538,0
49,64782,510,1163,1
52,39958,408,3840,1
39,41307,492,19644,1
41,89134,656,9484,0
25,33583,820,39008,1
38,37013,725,1395,0
48,67984,373,23431,1
62,64874,395,19853,0
42,60197,428,35359,1
41,29096,642,11176,1
26,91091,670,9043,1
21,93533,700,2404,0
25,96345,521,48385,0
61,45618,811,15904,0
32,29868,804,22389,1
46,41882,634,26015,1
66,40639,673,23853,1
54,56963,785,38160,0
69,80464,306,23578,0
34,49470,688,27050,1
46,90714,735,13788,1
65,83670,415,34291,1
47,96434,402,42056,1
29,91102,302,12184,0
46,40353,843,11225,1
67,58188,379,27220,1
42,53375,695,40680,1
67,91210,688,3706,0
50,42272,559,43689,0
63,41716,611,5438,1
68,55162,635,28884,0
37,96587,509,36399,0
46,93606,810,49353,0
56,49472,747,5221,1
21,78504,344,46959,0
28,75441,703,22018,1
69,81401,608,18945,1
55,78835,526,11592,1
35,76936,648,16146,1
67,51518,412,8783,0
42,74462,329,36692,0
34,47313,575,43991,1
46,36110,661,44047,0
48,54816,386,49817,0
43,81549,735,20144,0
34,48530,321,13489,1
44,20893,684,28164,1
22,46885,320,12604,1
65,64560,790,26846,1
46,33613,766,41052,0
34,99852,755,36197,0
27,26087,520,25817,0
23,55701,797,8953,0
67,38665,458,5085,1
43,49622,442,48350,0
66,61989,344,21116,0
63,64741,750,23333,0
67,98700,535,33873,1
65,40163,524,5316,1
38,91637,707,24004,0
58,79175,593,14849,1
55,53546,579,3952,1
35,23475,716,14914,1
45,90259,446,35170,0
57,34890,770,1395,0
48,43270,348,9719,1
30,26713,316,32534,1
59,94137,448,33577,1
37,85317,511,11802,0
59,85117,362,5582,1
42,82594,835,45314,1
46,98271,844,37296,0
64,76505,786,27689,1
45,62257,779,39461,0
37,99510,343,28527,1
33,66492,755,24045,1
40,96159,810,32351,0
45,35395,654,38886,0
24,92005,311,15906,0
30,45040,655,39478,1
23,88702,436,2975,0
61,41637,773,15572,0
65,87745,352,27589,0
38,28747,412,15508,0
67,40250,777,14150,0
56,97737,634,3752,0
67,74040,716,11417,1
42,51305,366,36231,0
54,85318,619,9069,0
67,84237,553,46505,1
28,72362,700,5841,1
60,30096,599,37498,1
69,95764,304,18155,1
64,29218,745,8544,0
39,67381,534,39888,1
62,39335,746,39442,0
61,66861,338,48249,0
57,49907,499,36793,0
26,59387,320,13140,1
46,94655,373,24285,1
54,77407,448,31420,0
65,85262,583,23420,1
26,24555,385,2638,1
57,66095,401,28805,1
53,84051,830,48807,0
42,21042,362,10768,0
41,24188,849,41068,1
26,98596,707,47792,1
26,78153,472,19506,1
68,30233,820,21453,1
24,23088,820,9111,0
50,21646,832,29543,0
31,33127,323,33103,0
50,52615,394,26037,0
51,86023,595,10765,0
44,35453,479,48877,0
29,72233,430,27297,1
23,54515,832,4853,0
51,78092,307,8901,1
60,85000,500,48034,1
57,81993,684,7592,0
56,73762,825,38388,0
44,97467,847,47746,1
51,42188,705,30592,1
26,86019,672,3743,0
22,20451,463,33835,1
40,24069,822,12002,1
48,84274,653,40006,0
31,33386,708,45720,0
24,27207,810,18360,1
35,58439,511,20658,0
26,72285,644,17203,1
69,38157,310,9194,0
50,94726,635,20662,1
58,61357,639,17952,1
22,34929,557,40710,0
35,68747,353,37361,0
31,27913,595,33770,0
28,95531,516,47091,0
46,46727,687,44625,0
65,21946,406,37189,1
64,81061,772,1786,0
25,86930,307,18300,0
26,81472,843,10424,0
46,87957,467,15349,0
24,39467,630,28750,1
39,44504,336,2778,0
40,96516,530,1330,0
53,21844,482,17924,1
40,54572,591,46318,1
69,42975,821,31400,0
32,39449,369,21877,1
67,39459,536,40695,1
21,86795,763,37450,0
46,38604,417,35447,0
34,99395,490,43836,0
58,80140,805,30580,1
57,45362,803,15673,1
31,47943,700,6532,0
56,41319,616,26044,1
33,71050,521,37217,1
63,27697,488,16740,0
23,73655,591,38854,0
53,48735,522,21540,0
26,51293,716,34700,0
30,89485,706,33108,1
25,96195,337,33030,1
43,28010,752,28646,1
30,60727,506,37410,1
64,34787,699,10815,0
22,93442,486,14742,1
33,33303,659,41709,1
60,86802,305,1799,1
22,73448,432,49890,1
40,89513,772,1885,1
21,26068,812,45271,0
57,51227,382,36848,1
29,32740,676,25066,0
37,84745,634,45004,1
29,27791,401,20865,0
31,20485,587,10100,1
35,65048,330,27273,0
44,50695,613,17682,1
58,57441,453,48836,0
55,20337,452,13612,1
50,35092,531,31286,0
51,76052,420,2859,1
69,21471,484,34766,0
25,71194,755,41804,0
64,64388,687,16406,0
34,92025,525,22732,1
31,78045,494,23316,0
29,93392,325,9549,0
54,81088,493,8775,0
32,94901,318,10943,1
55,25664,836,11579,1
55,25379,563,10135,1
21,87660,814,33808,1
60,51536,770,15695,1
42,24991,538,24875,1
49,92330,588,5072,1
28,48359,667,2226,0
31,69302,711,2290,1
61,38043,321,45648,1
57,29070,653,13352,1
34,92735,841,13998,0
50,34133,719,42798,1
55,76955,614,9704,0
41,48571,628,19886,0
57,46991,769,4075,1
25,97115,762,36364,1
39,69741,739,35189,1
34,41871,547,43830,1
46,26223,470,15979,0
24,34197,578,45993,0
45,94923,447,12434,0
65,83196,442,27649,1
62,99432,370,28859,1
45,61525,610,30326,0
38,36198,766,4973,1
60,54524,340,44172,1
28,38515,655,8806,0
59,42027,443,25490,0
60,33792,578,37620,1
34,52544,770,3703,0
52,43665,357,14349,1
58,51126,467,33577,1
53,39481,465,43688,1
43,43549,672,3692,0
35,88872,381,33285,0
53,93693,433,46662,1
45,72236,663,45458,1
37,83983,784,6151,0
53,56155,345,45482,1
67,57481,561,32938,0
22,87967,768,36113,0
34,40446,521,28140,0
60,28507,391,12746,0
60,53208,318,1607,0
59,37522,569,33442,1
26,67402,714,43262,0
26,45490,546,3277,0
23,58011,601,12625,0
27,55071,315,28015,0
28,67754,802,5826,0
62,65102,694,7124,0
35,34040,483,6394,1
67,27046,740,28753,1
49,59374,549,22931,1
53,56189,675,32467,0
50,54968,757,24030,1
59,40935,387,44868,0
47,75581,645,35597,0
56,29009,689,43479,1
49,66989,479,21047,0
58,66876,675,36232,0
53,87482,482,37607,1
57,56724,628,19426,1
47,71377,789,20306,1
53,88861,499,17185,0
24,28699,778,45441,0
42,23745,754,42570,0
22,64837,739,20739,1
30,50794,798,1170,1
25,41198,455,17112,1
30,77803,758,32306,1
53,33489,482,28351,0
58,70557,735,42487,0
33,81439,345,43072,1
51,42474,543,5454,0
67,76439,455,11530,0
56,75186,693,10432,0
65,88213,548,4708,0
44,75296,554,47248,1
35,54512,661,21852,0
49,96711,676,22868,1
28,21177,452,42365,0
25,20761,539,29233,1
49,26458,759,12648,1
67,79698,451,11233,1
24,74775,739,29517,1
32,73866,539,13565,1
65,40110,482,20743,0
